Name,Genre,Skills,Feat,Starting Items,Description
Acolyte,Fantasy,"Insight, Arcana, Religion, History","Healer, Divine Devotee, Iron Will","Holy Symbol, Robes, Healer's Kit, 10 GP",Raised in a temple to serve the gods.
Squire,Fantasy,"Athletics, Melee (Heavy), Animal Handling, History","Armor Training, Shield Master, Heavy Armor Master","Chainmail, Longsword, Shield, 10 GP",Trained in the martial arts under a knight.
Apprentice,Fantasy,"Arcana, Nature, History, Investigation","Arcane Student, Pyromancer, Relic Bearer","Spellbook, Robes, Ink/Pen, Component Pouch",Studied magic in a tower or academy.
Thief,Fantasy,"Stealth, Melee (Light), Sleight of Hand, Deception","Sneak Attack, Evasion, Streetwise","Leather Armor, Dagger, Thieves' Tools, 15 GP",Survived by taking what wasn't yours.
Ranger,Fantasy,"Survival, Ranged, Nature, Perception","Sniper, Heavy Lifter, Evasion","Longbow, Leather Armor, Bedroll, Hunting Trap","Lived in the wilds, hunting beasts."
Corporate Drone,Sci-Fi,"Computers, Persuasion, Deception, Insight","Hacker, Wirehead, Linguist","Datapad, Smart Suit, ID Card, 100 Cr",A low-level employee in a mega-corp.
Smuggler,Sci-Fi,"Piloting, Deception, Sleight of Hand, Streetwise","Ace Pilot, Zero-G Combatant, Lucky","Flight Jacket, Blaster Pistol, Fake ID, 50 Cr",Moves goods across star systems illegally.
Space Marine,Sci-Fi,"Athletics, Ranged, Intimidation, Survival","Weapon Training, Zero-G Combatant, Ironclad","Plasteel Armor, Laser Rifle, Rations, 0 Cr",Trained for void combat and boarding actions.
Xeno-Biologist,Sci-Fi,"Xenology, Medicine, Nature, Survival","Skill Expert, Deductive Mind, Linguist","Med-Scanner, Field Kit, Sample Vials, 50 Cr",Researches alien life forms.
Investigator,Horror/Mystery,"Investigation, Insight, Perception, Stealth","Gumshoe, Lip Reader, Occultist","Trenchcoat, Notebook, Flashlight, Revolver",Obsessed with finding the truth.
Survivor,Horror,"Stealth, Athletics, Survival, Medicine","Iron Will, Survivor, Lucky","Crowbar, Bandages, Lighter, Canned Food",Escaped something terrible and kept going.
Occultist,Horror,"Arcana, Investigation, History, Religion","Occultist, Iron Will, Deductive Mind","Old Tome, Chalk, Ritual Dagger, Candles",Dabbles in forbidden knowledge.
Street Samurai,Cyberpunk,"Melee (Light), Streetwise, Athletics, Intimidation","Chrome Jockey, Evasion, Weapon Training","Katana, Kevlar Vest, Cheap Sunglasses, 20 Ed",Mercenary for hire with an code of honor.
Netrunner,Cyberpunk,"Hacking, Computers, Investigation, Deception","Wirehead, Hacker, Secret Identity","Cyberdeck, Interface Cables, Energy Drink",Lives in the digital world more than the real one.
Gunslinger,Western,"Ranged, Intimidation, Perception, Survival","High Noon, Deadshot, Fan the Hammer","Revolver, Holster, Duster, Horse",Fastest hand in the territory.
Outlaw,Western,"Stealth, Survival, Intimidation, Animal Handling","Fan the Hammer, Saddleborn, Wanted","Repeater Rifle, Bedroll, Whiskey, Bounty Poster","Wanted by the law, loved by no one."
Scavenger,Post-Apocalyptic,"Scavenge, Survival, Perception, Stealth","Scavenger King, Jury Rigger, Rad-Eater","Backpack, Crowbar, Gas Mask, Geiger Counter",Digs through ruins for scraps of the old world.
Road Warrior,Post-Apocalyptic,"Driving, Melee (Heavy), Intimidation, Engineering","Heavy Lifter, Jury Rigger, Ace Pilot","Tire Iron, Leather Jacket, Goggles, Jerry Can",Roams the wastes in a cobbled-together vehicle.
Detective,Noir/Mystery,"Investigation, Intimidation, Insight, Perception","Deductive Mind, Gumshoe, Lip Reader","Badge, Service Pistol, Cigarettes, Notepad",A cynical cop or PI working the beat.
Grifter,Universal,"Deception, Persuasion, Sleight of Hand, Insight","Linguist, Secret Identity, Lucky","Fine Clothes, Marked Cards, Fake Jewelry",Makes a living convincing people of lies.
Doctor,Universal,"Medicine, Insight, Science, Persuasion","Healer, Skill Expert, Deductive Mind","Medical Bag, Scalpel, Clean Clothes",Sworn to do no harm.
Brawler,Universal,"Unarmed, Athletics, Intimidation, Survival","Brawler, Ironclad, Heavy Lifter","Knuckle Wraps, flask of strong drink",Fights in pits or taverns for coin.
